artists,name,link
"Yung Bambi, Swerzie",Stressed,https://open.spotify.com/track/2x3D4A5gI3PJEvhTtb4Hlr
Oliver Tree,All That,https://open.spotify.com/track/2rzl7pljzUTkNI66aPTz3A
Lil 2z,Gwuap Up,https://open.spotify.com/track/12AnaRslF9E82Wa7m1nKKO
"Nebu Kiniza, Lil Tecca",Can't Deny (feat. Lil Tecca),https://open.spotify.com/track/3Hh1dMv74AXl5MxLvTkz8k
Zotiyac,Red Dot,https://open.spotify.com/track/5VcTqxUTidpPI8W4JJJffP
Tyga,Get Loose,https://open.spotify.com/track/2W8OdX7oEYYFRKHe4iFmpy
Artonoise,Sad Girl,https://open.spotify.com/track/6szqqeHWIFCwbGyEZIU2wc
Jazz Cartier,â€¢ TEMPTED,https://open.spotify.com/track/7pQi9lwATNWDfNwtyMXUtm
DJ Quik,Pitch In OnA Party,https://open.spotify.com/track/2hyyA7U1m1pFlZcEyl91jH
"T.I., Rihanna",Live Your Life,https://open.spotify.com/track/3jlbL2OTD5YmIunYzgQTAN
"NAV, Meek Mill",Tap (feat. Meek Mill),https://open.spotify.com/track/5rU6kDNXZLXIinFezpbWbO
RealDeal Berns,The Bottom,https://open.spotify.com/track/3bFS2YmD20P84u1IKYb4lo
"Burna Bandz, Houdini",Flash Gordon,https://open.spotify.com/track/1edwlubRsOykYbbgTa7eva
Ugly Heroes,Graves,https://open.spotify.com/track/5yPxMEPP3nXbMZIsuXHGxd
"T.I., Rihanna",Live Your Life,https://open.spotify.com/track/3jlbL2OTD5YmIunYzgQTAN
"NAV, Meek Mill",Tap (feat. Meek Mill),https://open.spotify.com/track/5rU6kDNXZLXIinFezpbWbO
"Three 6 Mafia, Akon",That's Right (feat. Akon) - Explicit Album Version,https://open.spotify.com/track/0cOSb7wzbpb9vjRkbYufWj
Lil Xan,Slingshot,https://open.spotify.com/track/5J3LR9JWrZIUTG7UGZkIKg
Zotiyac,Red Dot,https://open.spotify.com/track/5VcTqxUTidpPI8W4JJJffP
ikabodVEINS,Mavericks,https://open.spotify.com/track/7pyDFuyjMNifpn2ybNV721
Killstation,Mud,https://open.spotify.com/track/5nYKbQcBb9cVcgQIylfOXr
JAWNS,Trash Talk,https://open.spotify.com/track/5Sn83NRA0nMRRhVJG5aGuu
"Cozway, Jon Casey",Ambush,https://open.spotify.com/track/5K8ByFcJKfcJGYyE9kIDrd
Tokyo Tears,Space,https://open.spotify.com/track/1LDQNuUI0iO6rTfZ6IqSKf
La Soul,Archangel,https://open.spotify.com/track/3VHTbYg12scLYmj0zHtPz9
